judul_proposal,deskripsi
Desain Klasifikasi Sinyal Otak Untuk Sistem Brain Computer Interface (BCI) yang Didukung Oleh Data Akuisisi ExG (fitur EEG),Elektronika
METODE EVALUASI CITRA ANGIOGRAM JANTUNG UNTUK PENILAIAN KEBERHASILAN OPERASI  PENYAKIT JANTUNG KORONER,Teknik Biomedika
Online Communication Analysis System for Water Governance; Case study: Bandung city,Informatika
Pengembangan Algoritma dan Piranti Lunak Penghitung Overtaking Intention pada Lingkungan Kendaraan Terkoneksi,Teknik Komputer
PENDIDIKAN PEMROGRAMAN DAN TEKNOLOGI INFORMASI UNTUK ANAK DENGAN MENGGUNAKAN GAMES,Teknik Komputer
Pengembangan Sistem Remote Monitoring Siaran Radio FM,Teknik Telekomunikasi
Aplikasi Simulator Peningkatan Keamanan Jaringan Komputer,Teknik Komputer
Interactive Wireless Presentation Device,Elektronika
METRICS AND MEASUREMENTS IN DATA ANALYTICS USING SOCIAL NETWORK APPROACH FOR ISSUES IN MANAGEMENT SCIENCE,Teknik Komputer
Sistem Digital Signage sebagai Media Informasi Publik dan Solusi Peningkatan Brand Awareness bagi Industri,Teknologi Informasi
Sistem EKG Telemetri,Teknik Biomedika
Pengembangan Mobile Voting,Teknik Komputer
Pengembangan Kotak Komputer Server Sederhana Sebagai Media Belajar Interaktif (EduBox),Rekayasa Perangkat Lunak dan Data
Implementasi Teknologi IoT pada Vertical Agriculture untuk Mengatasi Masalah Ketahanan Pangan dan Perbaikan Kondisi Lingkungan Hidup Di  Wilayah Perkotaan,Sistem Kendali dan Komputer
Rancang Bangun Next Generation Traffic Light Revolution Sistem Menuju Technology Readiness Level 7,Teknik Komputer
Pengembangan Perangkat Telepresence Sebagai Sarana Pertemuan Jarak Jauh Dengan Konsep Visualisasi Spatial Bagi Dunia Industri,Teknologi Informasi
Inovasi Disain dan Fabrikasi Susunan Antena Mikrostrip Menggunakan Teknik Sub-Array untuk Tracking pada  Sistem Komunikasi Satelit  atau Terestrial Bergerak,Teknik Telekomunikasi
: Perancangan Intelligent Electronic Device untuk Condition-Based Monitoring Menggunakan Cognitive Processor,Elektronika
Modul Eksperimen Inverter Terkoneksi ke Grid untuk Media Pembelajaran Mikrogrid,Teknik Ketenagalistrikan
Secure Control System  dan Penerapannya untuk Industrial Internet of Things (IIoT),Sistem Kendali dan Komputer
Adaptif System for Internet of Thing (IoT) in Healthcare,Informatika
Desain dan Prototyping Medium Range  Radar Ground Controlled Interception S-band untuk Bandara Kecil dan Gap-Filler,Teknik Telekomunikasi
Analisa Fusi Data Pendidikan Terhadap Aspek Afektif Peserta Didik Menggunakan Metode Clustering Data Mining : Studi Kasus Data Absensi berbasis RFID dan Smartphone.,Elektronika
A Prototype of Magnetic Field Camera,Teknik Biomedika
Implementation of Modular Active Power Filter with Apparent Power Limiting Method and Scaling Method Using dSpace 1104,Teknik Ketenagalistrikan
Improved-Capacity and Spectrum-Efficient Wireless Access Network to Support Internet of Things in 5G/6G Wireless Communication Systems.,Teknik Telekomunikasi
Mobile Non-invasive Hemoglobin Measurement for Maternal Health Monitoring,Teknik Biomedika
Design of Supercritical CO2 Brayton Cycle-Based 10 MW Solar Thermal Power Generation,Teknik Ketenagalistrikan
Perangkat Portable Crowd Management System Berbasis IoT untuk Ibadah Haji,Elektronika
Instalasi Akses Internet Super Cepat berbasis Light Fidelity (LiFi) di Indonesia,Elektronika
Pengembangan Internet of Things (IoT) untuk Tour Guide,Teknik Komputer
BOKS - Smart Locker,Elektronika
Mengatasi Masalah Sosial pada Masyarakat Perkotaan Melalui Pendidikan Teknologi Informasi dan Komunikasi Berbasis Mesjid di Kelurahan Cicaheum Kota Bandung,Teknik Telekomunikasi
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,Teknologi Informasi
Own Grid - Radio Nelayan,Elektronika
Sistem Pemantau Gas di Sekitar Tempat Pembuangan Akhir Sampah,Teknik Telekomunikasi
Sistem Pencatatan Kesehatan Ibu dan Anak Berbasis Information and Communication Technology (ICT) untuk Daerah Rural,Teknik Komputer
PENILAIAN STABILITAS DINAMIK MIKROGRID DENGAN TINGKAT PENETRASI ENERGI TERBARUKAN DENGAN VARIABEL YANG TINGGI,Teknik Ketenagalistrikan
PHOTOMETER SYSTEM,Informatika
Layanan Internet untuk Daerah Pedesaan Menggunakan Delay Tolerant Networking (DTN) Memanfaatkan Alat Transportasi Umum Sebagai Router,Teknik Komputer
Design and Realization of a Compact Dual-Band Antenna based on Metamaterials for WiMAX Application,Teknik Telekomunikasi
Design and Prototyping of Multiband Antenna for Tower-Sharing 3G/UMTS/LTE/mWiMAX Basestation Systems,Teknik Telekomunikasi
OPTIMIZATION OF RIJNDAEL BLOCK CIPHER USING COMPOSITE FIELD,Teknik Komputer
Simulation of  Vasculature for the Management of Cerebral Aneurysm Patients,Teknik Biomedika
Implementasi dan Pembuatan Low Cost EEG 16 Kanal,Teknik Komputer
Implementasi dan Pembuatan Perangkat Lunak EEG 6 Kanal sebagai Interface BCI,Elektronika
QURAN RECITATION AUTOMATIC CHECKER,Informatika
Antena  gelombang mikro aktif menggunakan struktur integrasi mikrostrip patch � transistor derau rendah,Elektronika
Sistem Produk-Layanan Kelas Virtual untuk Pembelajaran Jarak Jauh di Sekolah Dasar Pedesaan (Product-Service System on Virtual Class for Distance Learning in Rural Elementary School),Teknologi Informasi
Peningkatan Literasi Komputer Guru Sekolah Dasar Pedesaan Dalam Pemanfaatan Layanan Pembelajaran Digital Pada Jaringan Testbed Bandung-Subang-Cianjur,Teknologi Informasi
BROADBAND WIRELESS ACCESS: MEMBERDAYAKAN INOVASI DALAM INDUSTRI ELEKTRONIKA INDONESIA,Elektronika
Pengembangan Paket Murah Multimedia Pembelajaran Interaktif Berbasis Wiimote untuk Sekolah Dasar,Teknik Biomedika
PEMBANGUNAN SISTEM KOMUNIKASI DAN KOLABORASI UKM UNTUK PROMOSI DAN PEMASARAN022-2508135,Rekayasa Perangkat Lunak dan Data
Pengembangan Sistem Informasi Manajemen Rekam Kesehatan Elektronik Dosen dan Mahasiswa di UPT Layanan Kesehatan Bumi Medika Ganesha ITB,Teknik Biomedika
Karakterisasi Kanal Indoor Millimeter Wave Band Untuk Aplikasi WLAN/WiGig Pada Frekuensi 60 GHz,Teknik Telekomunikasi
Rekayasa Anena Mikrostrip Pita jamak untuk Mengatasi Perbedaan Teknologi Komunikasi Nirkabel pada Sistem Transportasi,Teknik Telekomunikasi
APLIKASI PEMROSESAN VIDEO UNTUK SISTEM PEMANTAUAN DAN ANALISIS TRAFIK KENDARAAN DI JALAN TOL,Teknik Telekomunikasi
OPTIMASI RIJNDAEL BLOCK CIPHER MENGGUNAKAN COMPOSITE FIELD,Teknik Komputer
PENGEMBANGAN TESTBED ARSITEKTUR HYBRID JARINGAN BROADCAST DVB-H DAN JARINGAN UNICAST UNTUK APLIKASI MOBILE TV INTERAKTIF,Teknik Telekomunikasi
Desain dan implementasi framework perangkat lunak aplikasi berbasis text untuk masyarakat daerah pedesaan Indonesia. (Design and implementation of the text-based applications software framework for Indonesia rural area communities),Informatika
Pengembangan Sensor Gerak Untuk Pemantauan Aktivitas Fisiologis Pasien,Elektronika
Pembuatan Sistem Mekatronik Simulator Lintasan Sepeda Untuk Kegiatan Olahraga Kebugaran,Sistem Kendali dan Komputer
Multirate Model Predictive Control,Sistem Kendali dan Komputer
Desain dan Implementasi Antena Cerdas Basestation WiMAX 3.3 GHz berbasis MIMO 4x4,Teknik Telekomunikasi
Rancang Bangun Penerapan Assistive Technology Pada Aplikasi Seni : Head-Up Display dan Aplikasi Interaktif Pada Alat Musik Gitar Elektrik,Sistem Kendali dan Komputer
Identifikasi Sidik Jari Dengan Pendekatan Komputasi Banyak Core (Many Core Computing),Informatika
Pengembangan Testbed MANET (Mobile Ad-Hoc Network) untuk Keperluan Mitigasi Bencana,Teknik Telekomunikasi
Rancang Bangun Sistem Cerdas Tanya-Jawab berbasis SMS,Informatika
Continuous Passive Motion (CPM) pada Sendi Bahu dengan 2-derajat Kebebasan,Teknik Biomedika
SISTEM REKAM KESEHATAN ELEKTRONIK SEBAGAI BASELINE KESEHATAN DOSEN DAN MAHASISWA ITB,Teknik Biomedika
Perhitungan dan Simulasi Kinerja Perangkat UPC   untuk Mengurangi Dampak Redaman Hujan terhadap I Sistem Komunikasi Satelit Ku Band di Indonesia,Teknik Telekomunikasi
PENGEMBANGAN PROTOTIPE OLED SEBAGAI SUMBER CAHAYA,Teknik Biomedika
Pengembangan Algoritma Pemisahan Sinyal dan   Spectrum Sensing untuk Sistem Cognitive Radio,Teknik Telekomunikasi
Sistem Pemonitoran Jaringan Berbasis Web Untuk Mendukung Kelangsungan Layanan Digital Learning Pedesaan (Web-based network monitoring system for supporting the sustainability of Rural Digital Learning Service),Teknik Komputer
Optimasi Sistem Konferensi Multimedia Berbasis Web Untuk Pembelajaran Digital Sekolah Dasar Di Pedesaan (Optimation of Web-based Multimedia Conference System for Digital Learning in Rural Elementary School),Teknologi Informasi
Pengembangan Prototipe Sistem e-Government Terpadu yang Handal Berbasis Komputing Cloud,Teknologi Informasi
Data Mining Data Genomik untuk Prediksi Resiko Penyakit Kompleks,Rekayasa Perangkat Lunak dan Data
Voice Command Bahasa Indonesia untuk Telepon Seluler,Informatika
Studi Kinerja  isolator Keramik dan Epoksi resin melalui pendekatan Rangkaian Listrik Ekivalen dan Simulasi Arus Bocor dengan perangkat lunak ATP/EMTP,Teknik Ketenagalistrikan
Testbed Disaster Manajemen Information System (DIMaS) kasus DIMaS SIAGA,Rekayasa Perangkat Lunak dan Data
Beamforming Design for LTE Smart Antenna System,Elektronika
Robot Sepakbola Otonomi (Autonomous Soccer Robot),Sistem Kendali dan Komputer
PENGEMBANGAN AKTOR SINTETIS BERUPA ASISTEN CERDAS (DEVELOPMENT SYNTHETIC-THESPIAN FOR SMART ASSISTANCE),Teknik Komputer
PERANGKAT MULTIMEDIA BERDASARKAN AKTIFITAS MATA (ELECTROCULOGRAM ENHANCED MULTIMEDIA SUITE),Teknik Komputer
High Performance and Low Complexity 4G LTE Turbo Decoder Design,Elektronika
RANCANG BANGUN SIMULATOR PEMBEDAHAN (VIRTUAL SURGERY DEVELOPMENT),Teknik Komputer
Peranancangan Digital Office System  (Layanan untuk Kantor Pemerintahan Kabupaten/Kota),Teknologi Informasi
Desain dan Implementasi Mobile Learning Berbasis SOA dan Integrasi Service Cloud Computing untuk Mendukung Proses Belajar Mengajar di Sekolah,Teknologi Informasi
Sistem Verifikasi Identitas Kependudukan Terpadu,Teknologi Informasi
Desain Proxy Cloudlet pada Mobile Cloud Computing,Teknologi Informasi
Desain Monitoring Manajemen Sumber Daya Komputasi Pada Sistem Cloud,Teknik Komputer
Future Internet Berbasis Delay Tolerant Network (DTN) untuk Desa Terpencil,Teknik Komputer
PEMBANGUNAN PLATFORM CLOUD YANG TEPAT GUNA BAGI KOMUNITAS BERGERAK,Teknologi Informasi
DISAIN DAN PERANCANGAN ANTENA UNTUK INTEGRASI TEKNOLOGI KOMUNIKASI DATA NIRKABEL,Teknik Telekomunikasi
Pengembangan Sistem TIK untuk Kelas Berbasis VIDEOLAN untuk Mendukung Layanan Pembelajaran Jarak Jauh di Pedesaan,Teknologi Informasi
Pengembangan Sistem Monitoring Kualitas Jaringan Akses Mobile Broadband / Internet Secara Empirik dengan Fitur Lokasi,Teknik Telekomunikasi
Pengembangan Komunitas Siswa Belajar Berbasis TIK (Studi Kasus Desa Punclut-Jawa Barat),Teknologi Informasi
Perancangan dan Implementasi Robot Kognitif Probabilistik dengan Kemampuan Lokalisasi-Pemetaan Mandiri dan Pengambilan Keputusan,Elektronika
Cloud Health di Indonesia (CLoud Health Reminder System Tuberculosis),Teknologi Informasi
: Alat Bantu Identifikasi Plagiasi Dokumen menggunakan Informasi Sintaks dan Latent Semantic,Informatika
Kajian dan Implementasi Sistem Visual Interaktif untuk Analisa Geometrik dari Kromosom,Informatika
Peningkatan Literasi TIK Komunitas Guru Sekolah Bandung-Subang-Cianjur untuk Mendukung e-Learning,Informatika
PERANCANGAN DAN IMPLEMENTASI ANTENA PAYLOAD/TELEMETRI/GPS TERPADU CONFORMAL PADA SISTEM ROKET,Teknik Telekomunikasi
MODUL TTS-Si: KONVERSI TEXT � SUARA BAHASA INDONESIA DENGAN MENGGUNAKAN SILABEL,Teknik Biomedika
Rancang-Bangun Perangkat Sistem Wireless Sensor Network (Studi kasus Implementasi pada Wireless Geophone Sensor Network untuk Akuisisi Data Seismik),Sistem Kendali dan Komputer
Pemodelan Kinerja Jaringan Nirkabel Berbasis   IEEE 802.11 yang Mendukung Kualitas   Layanan Video Streaming,Teknologi Informasi
Pengembangan Embedded Virtual Class Box untuk Mendukung Pembelajaran Jarak Jauh untuk Sekolah di Daerah Rural,Teknologi Informasi
Rancang Bangun Sistem Next Generation E-Voting,Sistem Kendali dan Komputer
Jaminan Kualitas Layanan Cross-Layer pada Multimedia  Streaming di Jaringan Wireless Internet (Cross-Layer Based QoS in Multimedia Streaming in Internet  Wireless Network),Teknologi Informasi
Rancang-Bangun Sistem Interaksi Pengguna Berbasis Teknologi Kolaborasi dan Konektivitas dengan Studi Kasus BeatMe! Dan Angklung Generasi Baru,Teknik Komputer
Pengembangan Jaringan Backchannel Sebagai Pendukung Sistem Fault Diagnosis pada Jaringan Nirkabel di Daerah Pedesaan  (Development of Backchannel Network For Supporting Fault Diagnosis System in Rural Wireless Networks),Elektronika
Pengembangan Sistem Interpretasi Data GPR dengan Menggunakan Metoda Pohon Keputusan,Teknik Telekomunikasi
Pembangkit Portofolio Siswa Otomatis,Rekayasa Perangkat Lunak dan Data
Evaluasi Jaringan Kabel Tembaga Untuk Aplikasi Internet Protokol Televisi  ( IPTV)  di Indonesia  (Wireline Network Evaluation for Internet Protocol Television (IPTV) in Indonesia),Teknik Telekomunikasi
Semantic Tecjnology untuk Mendukung Interoperabilitas Antar Model Informasi Electronic Health Record (EHR),Rekayasa Perangkat Lunak dan Data
PENGEMBANGAN TELERADIOLOGI SEBAGAI SARANA TELEKONSULTASI DAN TELEEDUKASI,Teknik Biomedika
PERANCANGAN ANTARMUKA SISTEM SEMI HIBRID ELEKTRIK - MEKANIK MENGGUNAKAN MOTOR SERVO UNTUK APLIKASI MOBIL LISTRIK,Teknik Ketenagalistrikan
PEMBANGKITAN SOAL KUIS OTOMATIS PADA   EVALUASI PEMBELAJARAN DIGITAL,Informatika
"Pengembangan Prototipe Skala Industri Sistem ExG (Integrasi Sistem EEG, EKG, dan EMG)",Teknik Biomedika
Pengembangan Algoritma Rendering Intelligent berbasis Artifisial Neural Network untuk Proyeksi Non-Planar dalam Aplikasi dengan Lingkungan Virtual 3D dengan Studi Kasus pada Simulator Wahana Bawah Laut Taman Nasional Bunaken,Teknik Komputer
Rancang Bangun WiMax Smart Terminal Untuk  Machine to Machine (M2M) Communication,Elektronika
Pemodelan Struktur Metadata IRySS (Intelligent Repository Storage System) - Kasus Komponen Dasar Doman Independen IRySS,Rekayasa Perangkat Lunak dan Data
"Secured-Bus Architecture Design for High Security  		Smart Card Chip",Elektronika
APLIKASI MONITORING TRAFIK SECARA CERDAS MENGGUNAKAN TEKNIK OPTICAL FLOW DAN AKSES STATUS DATA KONDISI TRAFIK BERBASIS MOBILE WEB,Teknik Telekomunikasi
Digital Course-Content Creator,Rekayasa Perangkat Lunak dan Data
Sistem Pendeteksian Obyek dalam Video Untuk Layanan Video Berbasis Komputasi Awan,Teknologi Informasi
Pengelolaan Pengetahuan & Teknologi Pangan untuk meningkatkan kualitas nutrisi mayarakat Indonesia,Teknologi Informasi
KAJIAN KEBUTUHAN DAYA TRAKSI  SISTEM ANGKUTAN MASSAL KRL MENGGUNAKAN ALGORITMA GENETIKA di DKI JAKARTA,Teknik Ketenagalistrikan
Perancangan dan Implementasi Perangkat HIL                 Perancangan dan Implementasi HIL (Hardware-in-the-Loop) untuk Karakterisasi ECU (Engine-Control-Unit) Kendaraan Bermotor,Elektronika
Buku Tabungan dalam Handphone dengan Teknologi Near Field Communication (NFC),Teknik Komputer
Pervasive Computing untuk Anak Autis,Teknik Komputer
Pengembangan Intelligent Assistant pada Sistem Human Error Tolerant Menggunakan  Metoda Cerdas Terpilih,Teknik Komputer
Pendeteksi Plagiarisme Karya Ilmiah Multibahasa (Indonesia dan Inggris),Informatika
Digital Learning Platform,Rekayasa Perangkat Lunak dan Data
Pengembangan Aplikasi pada Perangkat Komunikasi Bergerak untuk Kaji Cepat Kondisi Korban Bencana  (Rapid Disaster Victim Assessment Application Development on Mobile Devices),Teknik Telekomunikasi
Perancangan Antena Pita Lebar untuk Aplikasi Komunikasi Nirkabel,Teknik Telekomunikasi
Implementasi Pengendali Kecepatan dan Posisi Sudut Belok untuk penggerak mobil listrik Menggunakan Pengendali mikro berbasis Logika Fuzzy,Sistem Kendali dan Komputer
Simulasi SC-FDMA Sebagai Metoda Akses LTE Arah Uplink Pada Kanal HAPS Hasil Pengukuran,Teknik Telekomunikasi
Studi Kinerja  isolator Keramik dan Polimer melalui pendekatan Rangkaian Listrik Ekivalen dan Simulasi Arus Bocor dengan perangkat lunak ATP/EMTP,Teknik Ketenagalistrikan
Penumbuhan Si-Nanowires Menggunakan Metode Vapor Liquid Solid dengan Katalis Au-Nanoparticles untuk Aplikasi Devais Nanoelektronika,Elektronika
Sistem Remote Monitoring Sensor Bencana Menggunakan Teknologi Komunikasi Akses GPRS dan Teknologi Server Cloud Computing,Teknologi Informasi
DETEKSI PENYAKIT JANTUNG KORONER DENGAN KUANTIFIKASI CITRA 3D CTA,Teknik Biomedika
PENERAPAN TEKNOLOGI PENGKODEAN KANAL UNTUK PENINGKATAN KEANDALAN DALAM DISTRIBUSI MULTIMEDIA MELALUI INTERNET,Teknik Telekomunikasi
Pengembangan Information Center sebagai Sarana penyediaan informasi bagi Badan Publik (UU 18 2008 KIP),Teknologi Informasi
Sistem Monitoring Nasional Kinerja Pengelolaan Sampah Perkotaan di Indonesia,Teknologi Informasi
Telecommunication Promotional Rate Traffic Forecasting,Teknik Telekomunikasi
Pengembangan Sistem Perangkat Lunak Interpretatif untuk Pengenalan Lokasi berbasis Obyek Terdeteksi dari Gambar,Informatika
Sistem Manajemen Konten Pembelajaran Multimedia untuk Mendukung e-Learning,Teknologi Informasi
Protokol Pengiriman Data Video untuk Jaringan Nirkawat 4G,Teknologi Informasi
Rancangan Radio Frequency Front End untuk Digital TV Set Top Box Indonesia,Elektronika
SISTEM MANAJEMEN MONITORING ENERGI  UNTUK CATU DAYA HYBRID,Teknik Ketenagalistrikan
Pengembangan Visualisasi dan Editor Kode Program pada Perangkat Android,Informatika
Turbo Coding Engine Design for Energy-Aware Wireless System,Elektronika
Desain dan Implementasi Sistem Kendali Fuzzy Polinomial untuk SIstem Nonlinier dengan Pendekatan Sum of Square,Sistem Kendali dan Komputer
High Accuracy and Low Power Frame Synchronizer for High Mobility 4G Wireless System,Elektronika
Implementasi Spectrum Sensing Presisi Tinggi Untuk OpenBTS berbasis Software Defined Radio (SDR),Teknik Telekomunikasi
Karakterisasi Cloud Computing untuk Smart Power Grid Indonesia,Teknologi Informasi
Model Intelligent Transportation System berbasis Cloud Computing untuk Green Infrastructure,Teknologi Informasi
Perancangan Cloud-based Mobile Kiosk sebagai layanan informasi terpadu untuk masyarakat pedesaan,Teknologi Informasi
Disain dan Implementasi Perangkat Rumah Pintar Berbasis Mikrokontrol 8051,Teknik Telekomunikasi
Aplikasi Kendali Hibrid Pada Boost Inverter 1 Fasa,Teknik Ketenagalistrikan
Service Quality Assessment Framework,Rekayasa Perangkat Lunak dan Data
"Efek pelapisan silikon vulkanisasi temperatur ruang terhadap penurunan korona, temperatur permukaan dan arus bocor  pada  isolator keramik tegangan tinggi di daerah pantai  : kasus pantai ketewel Bali dan Pangandaran",Teknik Ketenagalistrikan
Pengembangan Metodologi Perancangan Embedded System berbasis Paradigma Event Driven dengan Contoh Kasus Hardware Firewall,Elektronika
Pembuatan Sensor MEMS Pengindera Kecepatan Aliran Udara dan Instrumen Spirometer Portable dengan Wireless-Interface Sebagai Alat Diagnosis Fungsi/Kesehatan Paru-paru,Elektronika
Rancangan Dasar Sistem Pengelolaan Pengetahuan untuk Kepakaran ITB,Rekayasa Perangkat Lunak dan Data
Integrasi Data Genom (Genomic Data) dalam Electronic Health Record (EHR),Rekayasa Perangkat Lunak dan Data
Deviation Detection via Visualization,Rekayasa Perangkat Lunak dan Data
Pengembangan Sistem Manajemen Perpustakaan Dijital Universitas berbasis Dokumen Elektronik,Rekayasa Perangkat Lunak dan Data
PENGEMBANGAN PENGUAT DAYA RF SINYAL BESAR              LD-MOSFET LINIER UNTUK TRANSMISI BROADBAND LTE DAN WIMAX DENGAN TEKNIK LINIERISASI PREDISTORSI �FIXED�,Elektronika
Simulasi Fluida 2 D Berbasiskan Partikel Menggunakan Smoothed Particle Hydrodynamics Untuk Aplikasi Mobile Interaktif,Informatika
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,Teknologi Informasi
Pengembangan Sistem Monitoring Berbasis Web Untuk Mendukung Kelangsungan Layanan Digital Learning Pedesaan,Teknologi Informasi
Integrasi Media Sosial Microblog dalam Massive Open Online Course (MOOC),Informatika
Peningkatan Laju dan Kapasitas Komunikasi Data Nirkabel Non Line of Sight (NLOS) pada Mobilitas Tinggi,Teknik Telekomunikasi
Desain & Implementasi Algoritma Enkripsi BC4,Elektronika
Pengembangan Model Enterprise Information Center sebagai implementasi Karakterisasi Informasi,Teknologi Informasi
Pengembangan Algoritma Distributed Multi-Level Stegocrypto untuk Kriptografi Kurva Eliptik,Teknik Komputer
Teknik QoS pada Layanan Kelas Virtual dengan Teknologi Tele-Konferensi untuk Mendukung Digital Lesson Study,Teknologi Informasi
Implementasi Sistem Smart Card untuk Aplikasi Kartu Informasi Kesehatan Pasien di Klinik Bumi Medika Ganesha,Elektronika
Sistem Fault Diagnosis untuk Menjamin Kelangsungan Layanan Pembelajaran Online di Pedesaan,Teknik Komputer
Pengembangan Metode Kompresi Dictionary-Based Pseudo Parallel didalam Meningkatkan Daya Tampung SMS Massal Terpersonalisasi Menggunakan Bahasa Indonesia,Informatika
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online,Teknologi Informasi
Karakterisasi Kanal Indoor Millimeter Wave Band Untuk Aplikasi WLAN/WiGig Pada Frekuensi 60 GHz,Teknik Telekomunikasi
Pengembangan Platform Virtual Class Box untuk Layanan Pembelajaran Digital,Teknologi Informasi
"Pengembangan Prototipe Skala Industri  Sistem ExG (Integrasi Sistem EEG, EKG, dan EMG)",Elektronika
Pemanfaatan Teknologi Digital Signage untuk mendukung dan meningkatkan Sistem Informasi dan Komunikasi Kampus,Teknologi Informasi
Peningkatan Literasi TIK pada Pembelajaran Online Kolaboratif bagi Komunitas Guru di Jawa Barat,Teknologi Informasi
IMPLEMENTASI FPGA UNTUK PROSESSOR ELLIPTIC CURVE ATAS COMPOSITE FIELD,Teknik Biomedika
Pengembangan Sistem Radar Pasif Multistatik dengan Menggunakan Pemancar Komersial sebagai Illuminator dan Perangkat berbasis Software Defined Radio sebagai Penerima Sinyal Radar,Teknik Telekomunikasi
KAJIAN KEBUTUHAN DAN STABILITAS ALIRAN DAYA PADA SISTEM TRAKSI KRL-MRT DENGAN MENGGUNAKAN ALGORITMA GENETIKA,Teknik Ketenagalistrikan
Sistem Komunikasi Visual Secara Immersive Untuk Distance Learning,Teknologi Informasi
Perancangan dan Implementasi Hardware Firewall berbasis FPGA,Elektronika
Pengembangan Frame Synchronizer  Presisi Tinggi dan Konsumsi Daya Rendah  untuk Sistem Wireless Generasi  4,Elektronika
Pengembangan Sistem Penuh Layanan Pembayaran Mobile dengan Near Field Communication (NFC) Smartcard,Teknik Komputer
Kajian Human Error pada Sistem E-learning dalam Kasus Penerapan Project Based Learning,Teknik Komputer
Pembangunan Digital Learning Platform,Rekayasa Perangkat Lunak dan Data
Pengembangan Jejaring Sosial untuk Pembelajaran Kolaboratif (Smart Learning System),Teknologi Informasi
Sistem Penanda Hak Cipta pada Peta Vektor SIG (Sistem Informasi Geografis),Rekayasa Perangkat Lunak dan Data
"Metode Akses Langsung untuk Optimasi Kecepatan Identifikasi Sidik Jari, Wajah, dan Suara pada Database Skala Besar",Rekayasa Perangkat Lunak dan Data
Fungsi Hash : Desain dan  Implementasi,Elektronika
Studi Penerapan dan Dampak Mobile Cyber Market pada Masyarakat Petani di Lingkungan DAS Citarum,Teknologi Informasi
Implementasi Pengendali Kecepatan dan Posisi Sudut Belok Untuk Penggerak Mobil Listrik Menggunakan Pengendali Mikro Hibrid,Sistem Kendali dan Komputer
